# ExEP Small Temperate Exoplanet Database,,,,,,,,Selection Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NASA Exoplanet Exploration Program Office Internal Database,,,,,,,,"Hab Zone: both from Kopparapu+2014, adopting either ""conservative"" or ""optimistic"" hab zone limits (assume 1 Mearth for calculation) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Eric Mamajek,,,9/28/18,,,,,"Planet mass upper limit: ""conservative"" < 5 Mearth, ""optimistic"" < 10 Mearth. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COUNTS,,,Conserv.Terrestrial Temperate,Optimistic Terrestrial Temperate,Optimistic Small Temperate,,,"Planet radius upper limit: ""conservative"" < 1.5 Rearth, ""optimistic"" < 1.8 Rearth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# total,,,8,16,,26,,"Discovery flag in column 4: K(Kepler mission), K2, RV(radial velocity), T(other transit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by Kepler mission,,,2,5,,11,,Quantities in italics are calculated in this table from other published parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by K2,,,0,1,,1,,"""Conservative temperate terrestrial exoplanet count"" = number of likely terrestrial planets (<=1.5 Re, <=5 Me) in conservative habitable zone"" ('hall of fame')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by other transit,,,3,4,,5,,"""Optimistic temperate terrestrial exoplanet count"" = number of likely terrestrial planets (<=1.5 Re, <=5 Me) in optimistic habitable zone"" (would include early Venus and early Mars)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# discovered by precision RV,,,3,6,,9,,"""Optimistic temperate small exoplanet count"" = number of ""small"" (<=1.8 Re, <=10 Me) planets in optimistic habitable zone"" (likely contains some sub-Neptunes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Optimistic Temperate Small (<1.8Re),2,Conservative Temperate Terrestrial (<1.5 Re),4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47
opt_in,Optimistic Temperate Terrestrial (<1.5Re),con_in,Planet,Planet_Description,discovery_method,NExSci_confirmed,HEC list,DR25,Radius,Radius_orig,Ref_radius,Mass,Ref_Mass,Teff,Ref_Teff,Parallax_mas,err_mas,Dist_pc,Dist_ly,log_Lum,Ref_lum,Period,Ref_period,Mass_star,ref_Mass_star,semi_major_axis,Ref_a,T_eq_0,T_eq_03,S,S_in_HZ,S_out_HZ,S_in_Recent_Venus,S_out_Early_Mars,in_Conservative_HZ,in_Optimistic_HZ,diff_from_S_Earth,Teq_published,S_published,Spec_Type,Planet_Alias,ID,2MASS_J,Fe_H,ref_Fe_H,last updated,Notes
TRUE,11,FALSE,Ross 128 b,temperate terrestrial (optimistic),RV,Y,Yo,NA,NA,NA,NA,>1.35,Bonfils+2017,3192,Bonfils+2017,295.8,0.54,3.38,11.03,-2.441,Bonfils+2017,9.8658,Bonfils+2017,0.168,Bonfils+2017,0.049673654,"calc P,M",307,280,1.467,0.925,0.238,1.485,0.214,N,Y,47%,269,1.38,M4V,FI Vir b,EPIC 201518346,11474440+0048164,,,9/13/18,
TRUE,12,FALSE,Trappist-1 d,temperate terrestrial (optimistic),T,Y,Yo,NA,0.784,0.784+-0.023,Grimm+2018,0.297+0.039-0.035,Grimm+2018,2516,VanGrootel2018,82.58,2.58,12.11,39.5,-3.259,Kane2018,4.04961,Gillon+2017,0.089,Van Grootel+2018,0.022199351,"calc P,M",286,262,1.118,0.91,0.221,1.46,0.198,N,Y,12%,288,1.143,M8V,K2-112d,EPIC 246199087,23062928-0502285,,,9/13/18,Gillon+2017
TRUE,13,FALSE,Kepler-296 f,temperate terrestrial (optimistic),K ,Y,NA,Y,1.48,1.48+0.16-0.25,Torres+2015,NA,NA,3572,Torres+2015,4.42478,NA,226,737.1,-1.569,Torres+2015,34.14204,Torres+2015,0.394,Mathur+2017,0.150994059,"calc P,M",291,266,1.184,0.933,0.249,1.498,0.224,N,Y,18%,NA,1.45,M2V,KOI-1422.04,KIC 11497958,19060960+4926143,,,9/13/18,"Torres+2015 (also 0.2"" bin), no Gaia DR2 plx, Dist from Torres, SpT from Muirhead+2013"
TRUE,14,FALSE,Wolf 1061 c,temperate terrestrial (optimistic),RV,Y,Yo,NA,NA,NA,NA,3.41+0.43-0.41,Estudillo-Defru+17,3342,Astudillo-Defru17,232.2095,0.063,4.31,14.05,-1.959,Mann+15 calc w/GaiaDR2,17.8719,Estudillo-Defru+17,0.294,Mann+2015,0.088953779,"calc P,M",302,277,1.39,0.928,0.242,1.489,0.218,N,Y,39%,NA,1.3,M3.5V,GJ 628 c,LHS 419,16301808-1239434,,,9/13/18,"Wright+2016 reported, Astuidillo-Defru+2017 confirmed & using their params"
TRUE,15,FALSE,Kepler-438 b,temperate terrestrial (optimistic),K ,Y,Yo,Y,1.12,1.12+0.16-0.17,Torres+2015,NA,NA,3748,Torres+2015,5.1035,0.1232,195.94,639.07,-1.357,Torres+2015,35.23319,Torres+2015,0.554,Mathur+2017,0.172745221,"calc P,M",307,281,1.474,0.938,0.255,1.506,0.229,N,Y,47%,NA,1.4,M1V,KOI-3284.01,KIC 6497146,18463499+4157039,,,9/13/18,Torres+2015 (Dressing+2015 shortly afterwards)
TRUE,16,FALSE,Kepler-441 b,temperate terrestrial (optimistic),K ,Y,NA,Y,1.462,1.462+0.112-0.086,Berger+2018,NA,NA,4340,Berger+2018,3.7026,0.025,270.08,880.87,-1.067,"Berger+2018(calc R,T)",207.2482,Thompson+2018,0.573,Mathur+2017,0.569263748,"calc P,M",200,183,0.265,0.964,0.278,1.547,0.25,N,Y,74%,194,0.3,[K8V],KOI-4622.01,KIC 11284772,18581605+4900451,,,9/13/18,
TRUE,N,FALSE,Kepler-452 b,temperate small (conservative),K ,Y*,Yo,Y,1.511,1.511+0.131-0.143,Berger+2018,NA,NA,5772,Johnson+2017,1.7838,0.0169,560.6,1828.4,0.089,"calc(Johnson+2017 T, Berger+2018 R)",384.843,Jenkins+2015,1.07,Johnson+2017,1.059054872,"calc P,M",285,261,1.095,1.106,0.356,1.774,0.32,Y,Y,9%,265,1.1,G5IV,KOI-7016.01,KIC 8311864,19440088+4416392,,,9/13/18,"Jenkins+2015 reported; Mullally+2018 argues it is unconfirmed. Following NExScI (https://exoplanetarchive.ipac.caltech.edu/docs/kepler452b.html), I've retained the planet for now."
TRUE,N,FALSE,GJ 832 c,temperate small (conservative),RV,Y,Yo,NA,NA,NA,NA,5.4+-1.0,Wittenmyer+2014,3522,Gaidos+2014,201.4073,0.0429,4.97,16.19,-1.658,Gaidos+2014,35.68,Wittenmyer+2014,0.41,Gaidos+2014,0.157572101,"calc P,M",270,247,0.886,0.932,0.248,1.496,0.223,Y,Y,11%,NA,NA,M1.5V,HD 204961 c,HIP 106440,21333397-4900323,,,9/13/18,"Wittenmyer+2014 reported ""super-Venus"""
TRUE,N,FALSE,Kepler-1544 b,temperate small (conservative),K ,Y,Yo,Y,1.685,1.685+0.101-0.136,Berger+2018,NA,NA,4852,Berger+2018,2.9554,0.0146,338.36,1103.57,-0.604,"Berger+2018(calc R,T)",168.8116,Torres+2017,0.743,Torres+2017,0.541417893,"calc P,M",267,245,0.849,1.002,0.302,1.608,0.272,Y,Y,15%,269,0.82,[K3V],KOI-4036.01,KIC 11415243,19490839+4912448,-0.08,Torres+2017,9/13/18,Morton+2016 reported; Torres+2017 params
TRUE,N,FALSE,HD 40307 g,temperate small (conservative),RV,Y,NA,NA,NA,NA,NA,7.1+-2.6,Tuomi+2013,4827,Valenti+2005,77.2727,0.0276,12.94,42.21,-0.642,Sousa+2008,197.8,Tuomi+2013,0.71,Bonfanti+2016,0.592704808,"calc P,M",250,229,0.649,1,0.301,1.604,0.271,Y,Y,35%,NA,NA,K2.5V,GJ 2046 g,HIP 27887,05540421-6001245,,,9/13/18,"Tuomi+2013 reported; Dias+2016 ""current data are not conclusive concerning the existenceƒ"""
